Time,Calls in SL,BH,Hoop,Wait T,C,Floor,IB Calls,OB Calls,IB Voicemail Calls,IB Forwarded Calls,IB Overflow Calls,IB Regular Calls,Aban In Queue,Avg. Wait Time,SL %,SL % - 18s,IB Regular Calls Completed,IB Handled,IB AHT,OB Handled,OB AHT
1/3/2021 19:00,0,Business Hours,38,0,165,38,4,0,0,0,1,3,0,0,,,2,0,,0,
1/3/2021 19:30,0,Business Hours,39,0,166,39,2,0,0,0,1,1,0,0,,,1,0,,0,
1/3/2021 20:00,0,Business Hours,40,0,167,40,3,0,0,0,3,0,0,,,,0,0,,0,
1/3/2021 20:00,0,Business Hours,40,0,168,40,9,0,2,0,3,4,0,0,,,3,0,,0,
1/3/2021 20:30,0,Business Hours,41,0,169,41,2,0,0,0,2,0,0,,,,0,0,,0,
1/3/2021 20:30,0,Business Hours,41,0,170,41,4,0,3,0,1,0,0,0,,,0,0,,0,
1/3/2021 21:00,0,Business Hours,42,0,171,42,1,0,0,0,1,0,0,,,,0,0,,0,
1/3/2021 21:00,0,Business Hours,42,0,172,42,3,0,1,0,1,1,0,0,,,1,0,,0,
1/3/2021 21:30,0,Business Hours,43,0,173,43,1,0,0,0,1,0,0,,,,0,0,,0,
1/3/2021 21:30,0,Business Hours,43,0,174,43,1,0,0,0,0,1,0,0,,,1,0,,0,
1/3/2021 22:30,0,Out of BH,45,0,175,45,1,0,0,0,1,0,0,,,,0,0,,0,
1/3/2021 22:30,0,Out of BH,45,0,176,45,1,0,1,0,0,0,0,0,,,0,0,,0,
1/3/2021 23:00,0,Out of BH,46,0,177,46,2,0,0,0,2,0,0,,,,0,0,,0,
1/3/2021 23:00,0,Out of BH,46,0,178,46,2,0,1,0,0,1,0,0,,,1,0,,0,
1/3/2021 23:30,0,Out of BH,47,0,179,47,2,0,0,0,2,0,0,,,,0,0,,0,
1/3/2021 23:30,0,Out of BH,47,0,180,47,8,0,3,0,3,2,0,0,,,2,0,,0,
1/4/2021 0:00,0,Out of BH,0,0,181,0,1,0,0,0,0,1,0,0,,,1,0,,0,
1/4/2021 0:00,0,Out of BH,0,0,182,0,1,0,0,0,1,0,0,,,,0,0,,0,
1/4/2021 1:00,0,Out of BH,2,0,183,2,2,0,0,0,1,1,0,0,,,1,0,,0,
1/4/2021 1:30,0,Out of BH,3,0,184,3,2,0,1,0,1,0,0,0,,,0,0,,0,
1/4/2021 5:30,0,Out of BH,11,0,185,11,1,0,1,0,0,0,0,0,,,0,0,,0,
1/4/2021 5:30,0,Out of BH,11,0,186,11,1,0,0,0,1,0,0,,,,0,0,,0,
1/4/2021 6:00,0,Out of BH,12,0,187,12,2,0,1,0,1,0,0,0,,,0,0,,0,
1/4/2021 7:00,0,Out of BH,14,0,188,14,2,0,1,0,0,1,0,0,,,1,0,,0,
1/4/2021 7:00,0,Out of BH,14,0,189,14,2,0,0,0,2,0,0,,,,0,0,,0,
1/4/2021 7:30,0,Out of BH,15,0,190,15,5,0,2,0,0,3,0,0,,,3,0,,0,
1/4/2021 7:30,0,Out of BH,15,0,191,15,5,0,0,0,5,0,0,,,,0,0,,0,
1/4/2021 8:00,0,Business Hours,16,0,192,16,6,0,2,0,0,4,0,0,,,3,0,,0,
1/4/2021 8:00,0,Business Hours,16,0,193,16,6,0,0,0,6,0,0,,,,0,0,,0,
1/4/2021 8:30,0,Business Hours,17,0,194,17,3,0,1,0,0,2,0,0,,,2,0,,0,
1/4/2021 8:30,0,Business Hours,17,0,195,17,3,0,0,0,3,0,0,,,,0,0,,0,
1/4/2021 9:00,7,Business Hours,18,144,196,18,9,6,0,1,0,8,0,24,0.83,0.67,6,6,283,6,161.33
1/4/2021 9:30,3,Business Hours,19,27,197,19,3,13,0,0,0,3,0,13.5,1,1,2,2,239,13,143.38
1/4/2021 10:00,4,Business Hours,20,376,198,20,9,0,0,0,0,9,1,62.71,0.43,0.43,6,6,364,0,
1/4/2021 10:00,1,Business Hours,20,7,199,20,1,0,0,0,0,1,0,7,1,1,1,1,253,0,
1/4/2021 10:30,8,Business Hours,21,255,200,21,10,0,0,0,0,10,0,31.88,0.75,0.75,8,8,313,0,
1/4/2021 11:00,3,Business Hours,22,703,201,22,11,0,0,1,0,10,1,87.89,0.33,0.33,8,8,254,0,
1/4/2021 11:00,0,Business Hours,22,126,202,22,1,0,0,0,0,1,0,126,0,0,1,1,264,0,
1/4/2021 11:30,5,Business Hours,23,609,203,23,11,3,0,0,0,11,0,55.36,0.45,0.45,11,11,241,3,429.67
1/4/2021 12:00,7,Business Hours,24,519,204,24,13,1,0,0,0,13,3,57.67,0.5,0.5,9,9,269,1,354
1/4/2021 12:30,10,Business Hours,25,79,205,25,10,0,0,0,0,10,0,8.78,1,1,9,9,364,0,
1/4/2021 13:00,7,Business Hours,26,65,206,26,8,0,0,1,0,7,0,10.83,1,1,6,6,270,0,
1/4/2021 13:00,0,Business Hours,26,0,207,26,1,0,0,0,0,1,0,,,,0,0,,0,
1/4/2021 13:30,7,Business Hours,27,577,208,27,12,0,0,1,0,11,0,57.7,0.6,0.6,10,10,245,0,
1/4/2021 14:00,4,Business Hours,28,488,209,28,12,0,0,0,0,12,2,69.78,0.33,0.33,7,7,282,0,
1/4/2021 14:30,6,Business Hours,29,80,210,29,7,0,0,0,0,7,0,16,0.8,0.8,5,5,297,0,
1/4/2021 14:30,4,Business Hours,29,42,211,29,4,0,0,0,0,4,0,10.5,1,1,4,4,390,0,
1/4/2021 15:00,7,Business Hours,30,153,212,30,9,1,0,0,0,9,0,25.5,0.83,0.83,6,6,316,0,
1/4/2021 15:00,0,Business Hours,30,105,213,30,1,0,0,0,0,1,0,105,0,0,1,1,428,0,
1/4/2021 15:30,6,Business Hours,31,115,214,31,7,0,0,0,0,7,0,16.43,0.86,0.71,7,7,155,0,
1/4/2021 16:00,3,Business Hours,32,35,215,32,3,0,0,0,0,3,0,11.67,1,1,3,3,220,0,
1/4/2021 16:00,1,Business Hours,32,8,216,32,1,0,0,0,0,1,0,8,1,1,1,1,250,0,
